epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4664,1.12897,2.9484,1.41207,0.00314,0.94286,0.05752,0.03371,2.13802,4.28897,2.52062,0.00034,0.00034,0.00034
2,92.2356,0.84084,2.07675,1.10418,0.57234,0.57143,0.50322,0.31622,1.53575,3.23016,1.69444,0.0006307,0.0006307,0.0006307
3,137.722,0.61356,1.60337,0.95194,0.96357,0.88571,0.90632,0.7548,0.85008,1.73044,1.01905,0.00085012,0.00085012,0.00085012
4,183.114,0.58464,1.46289,0.90448,0.99882,0.94286,0.97861,0.90486,0.49161,1.17073,0.82865,0.00099826,0.00099826,0.00099826
5,228.855,0.53192,1.27289,0.88063,0.99804,0.94286,0.96875,0.89456,0.51751,1.09476,0.81833,0.00107512,0.00107512,0.00107512
6,274.202,0.4857,1.18866,0.85731,1,0.99799,0.995,0.91777,0.4628,0.88946,0.78904,0.00101,0.00101,0.00101
7,319.581,0.47423,1.13681,0.85783,1,0.97018,0.99444,0.92209,0.46424,0.83337,0.78966,0.000812,0.000812,0.000812
8,365.015,0.44338,1.03106,0.83772,1,0.99784,0.995,0.94062,0.40606,0.78963,0.78032,0.000614,0.000614,0.000614
9,410.603,0.43495,0.99719,0.84506,1,0.99671,0.995,0.94417,0.39284,0.76229,0.77474,0.000416,0.000416,0.000416
10,455.971,0.37522,0.96179,0.8173,1,0.99865,0.995,0.94507,0.36814,0.7447,0.76918,0.000218,0.000218,0.000218
